table_schema,table_name,constraint_name,constraint_type
voy_marketplace,promotions,70675_70925_7_not_null,CHECK
voy_marketplace,promotions,70675_70925_8_not_null,CHECK
voy_marketplace,promotions,70675_70925_9_not_null,CHECK
voy_marketplace,promotions,promotions_seller_id_fkey,FOREIGN KEY
voy_marketplace,promotions,promotions_pkey,PRIMARY KEY
voy_marketplace,return_items,70675_71040_1_not_null,CHECK
voy_marketplace,return_items,70675_71040_2_not_null,CHECK
voy_marketplace,return_items,70675_71040_3_not_null,CHECK
voy_marketplace,return_items,70675_71040_4_not_null,CHECK
voy_marketplace,return_items,70675_71040_5_not_null,CHECK
voy_marketplace,return_items,return_items_order_item_id_fkey,FOREIGN KEY
voy_marketplace,return_items,return_items_return_id_fkey,FOREIGN KEY
voy_marketplace,return_items,return_items_pkey,PRIMARY KEY
voy_marketplace,returns,70675_71023_1_not_null,CHECK
voy_marketplace,returns,70675_71023_2_not_null,CHECK
voy_marketplace,returns,70675_71023_3_not_null,CHECK
voy_marketplace,returns,70675_71023_5_not_null,CHECK
voy_marketplace,returns,70675_71023_6_not_null,CHECK
voy_marketplace,returns,returns_order_id_fkey,FOREIGN KEY
voy_marketplace,returns,returns_pkey,PRIMARY KEY
voy_marketplace,seller_plans,70675_70825_1_not_null,CHECK
voy_marketplace,seller_plans,70675_70825_2_not_null,CHECK
voy_marketplace,seller_plans,70675_70825_3_not_null,CHECK
voy_marketplace,seller_plans,70675_70825_4_not_null,CHECK
voy_marketplace,seller_plans,70675_70825_5_not_null,CHECK
voy_marketplace,seller_plans,70675_70825_6_not_null,CHECK
voy_marketplace,seller_plans,seller_plans_pkey,PRIMARY KEY
voy_marketplace,seller_plans,seller_plans_name_key,UNIQUE
voy_marketplace,seller_profiles,70675_70676_14_not_null,CHECK
voy_marketplace,seller_profiles,70675_70676_16_not_null,CHECK
voy_marketplace,seller_profiles,70675_70676_17_not_null,CHECK
voy_marketplace,seller_profiles,70675_70676_1_not_null,CHECK
voy_marketplace,seller_profiles,70675_70676_2_not_null,CHECK
voy_marketplace,seller_profiles,70675_70676_3_not_null,CHECK
voy_marketplace,seller_profiles,70675_70676_4_not_null,CHECK
voy_marketplace,seller_profiles,seller_profiles_owner_user_id_fkey,FOREIGN KEY
voy_marketplace,seller_profiles,seller_profiles_pkey,PRIMARY KEY
voy_marketplace,seller_profiles,seller_profiles_store_slug_key,UNIQUE
voy_marketplace,seller_staff,70675_70705_1_not_null,CHECK
voy_marketplace,seller_staff,70675_70705_2_not_null,CHECK
voy_marketplace,seller_staff,70675_70705_3_not_null,CHECK
voy_marketplace,seller_staff,70675_70705_4_not_null,CHECK
voy_marketplace,seller_staff,70675_70705_5_not_null,CHECK
voy_marketplace,seller_staff,seller_staff_seller_id_fkey,FOREIGN KEY
voy_marketplace,seller_staff,seller_staff_user_id_fkey,FOREIGN KEY
voy_marketplace,seller_staff,seller_staff_pkey,PRIMARY KEY
voy_marketplace,seller_subscriptions,70675_71074_1_not_null,CHECK
voy_marketplace,seller_subscriptions,70675_71074_2_not_null,CHECK
voy_marketplace,seller_subscriptions,70675_71074_3_not_null,CHECK
voy_marketplace,seller_subscriptions,70675_71074_4_not_null,CHECK
voy_marketplace,seller_subscriptions,70675_71074_7_not_null,CHECK
voy_marketplace,seller_subscriptions,seller_subscriptions_plan_id_fkey,FOREIGN KEY
voy_marketplace,seller_subscriptions,seller_subscriptions_seller_id_fkey,FOREIGN KEY
voy_marketplace,seller_subscriptions,seller_subscriptions_pkey,PRIMARY KEY
